# Echo 22 focal plane parameters calculated from model in DESI-4037v6.							
# The plate scale varies with radius, and is different in the							
# meridional (radial) direction vs. the							
# sagittal (tangential/azimuthal) direction.  The table below							
# contains the F/#, Focal Length, and Plate Scale vs. radius for							
# both the meridional and sagittal orientations at that radius.							
							
# Columns:							
# - Radius : radius from center of focal plane [mm]							
# - Theta radial angle that has a centroid at this radius [deg]							
# - MF/# : Meridional F/#							
# - SF/# : Sagittal F/#							
# - MFL  : Meridional focal length [m]							
# - SFL  : Sagittal focal length [m]							
# - MPS  : Meridional plate scale [um/arcsec]							
# - SPS  : Sagittal plate scale [um/arcsec]							
# Radius	Theta	MF/#	SF/#	MFL	SFL	MPS	SPS
62.162537570	0.255589503	3.689274698	3.681094873	13.965314826	13.934829836	67.705699698	67.557904420
63.121000933	0.259521648	3.689652435	3.681218263	13.966728374	13.935298592	67.712552768	67.560177008
64.079561308	0.263453793	3.690035993	3.681343543	13.968163452	13.935774490	67.719510218	67.562484230
65.038220163	0.267385940	3.690425368	3.681470715	13.969620059	13.936257531	67.726572040	67.564826073
65.996978985	0.271318088	3.690820560	3.681599773	13.971098194	13.936747714	67.733738230	67.567202545
66.955839253	0.275250233	3.691221578	3.681730715	13.972597854	13.937245038	67.741008783	67.569613643
67.914802435	0.279182378	3.691628420	3.681863553	13.974119038	13.937749503	67.748383685	67.572059355
68.873870023	0.283114523	3.692041083	3.681998275	13.975661746	13.938261109	67.755862940	67.574539688
69.833043488	0.287046673	3.692459578	3.682134890	13.977225976	13.938779855	67.763446535	67.577054638
70.792324308	0.290978818	3.692883908	3.682273393	13.978811726	13.939305740	67.771134460	67.579604200
71.751713973	0.294910963	3.693314065	3.682413783	13.980418997	13.939838765	67.778926723	67.582188373
72.711213955	0.298843110	3.693750060	3.682556063	13.982047786	13.940378928	67.786823310	67.584807155
73.670825738	0.302775258	3.694191893	3.682700235	13.983698094	13.940926230	67.794824223	67.587460548
74.630550800	0.306707403	3.694639570	3.682846295	13.985369919	13.941480670	67.802929448	67.590148548
75.590390628	0.310639548	3.695093085	3.682994250	13.987063260	13.942042248	67.811138993	67.592871150
76.550346703	0.314571693	3.695552453	3.683144093	13.988778117	13.942610962	67.819452848	67.595628353
77.510336143	0.318503840	3.696017665	3.683295823	13.990514490	13.943186814	67.827871013	67.598420160
78.470528593	0.322435988	3.696488728	3.683449450	13.992272378	13.943769803	67.836393488	67.601246565
