# %ECSV 1.0
# ---
# datatype:
# - {name: R, unit: mm, datatype: float64, description: 'CS5 radius, i.e. sqrt(X**2 + Y**2)'}
# - {name: Z, unit: mm, datatype: float64, description: CS5 Z coordinate}
# - {name: S, unit: mm, datatype: float64, description: distance from focalplane center along curved focal surface (arclength)}
# meta: {comment: Focal plane curve mapping, curve_r: -9767.0, diameter: 1160.0}
# schema: astropy-2.0
R Z S
153.0 -1.198445595978628 153.00625818833262
154.0 -1.2141637244573453 154.0063817109221
155.0 -1.229984276713472 155.0065068484663
156.0 -1.245907253244788 156.00663361145968
157.0 -1.2619326545522997 157.00676201039707
158.0 -1.2780604811402405 158.00689205577342
159.0 -1.2942907335160676 159.00702375808376
160.0 -1.310623412190467 160.00715712782338
161.0 -1.327058517677349 161.00729217548763
162.0 -1.343596050493852 162.00742891157213
163.0 -1.3602360111603387 163.00756734657253
164.0 -1.3769784002004004 164.0077074909847
165.0 -1.3938232181408532 165.0078493553047
166.0 -1.4107704655117415 166.00799295002872
167.0 -1.4278201428463353 167.00813828565313
168.0 -1.4449722506811327 168.00828537267452
169.0 -1.462226789555856 169.00843422158943
170.0 -1.4795837600134585 170.00858484289483
171.0 -1.4970431626001173 171.0087372470877
172.0 -1.5146049978652378 172.00889144466524
173.0 -1.5322692663614537 173.00904744612484
174.0 -1.5500359686446246 174.00920526196398
175.0 -1.5679051052738375 175.00936490268037
176.0 -1.5858766768114085 176.00952637877197
177.0 -1.6039506838228799 177.00968970073671
178.0 -1.6221271268770219 178.0098548790729
179.0 -1.6404060065458332 179.01002192427887
180.0 -1.6587873234045403 180.0101908468533
181.0 -1.6772710780315963 181.01036165729482
182.0 -1.695857271008684 182.01053436610246
183.0 -1.714545902920714 183.01070898377526
184.0 -1.7333369743558245 184.0108855208125
185.0 -1.7522304859053823 185.01106398771373
186.0 -1.7712264381639833 186.01124439497852
187.0 -1.7903248317294518 187.01142675310678
188.0 -1.8095256672028395 188.0116110725985
189.0 -1.8288289451884283 189.01179736395386
190.0 -1.8482346662937281 190.01198563767326
191.0 -1.8677428311294786 191.01217590425733
192.0 -1.887353440309647 192.01236817420678
193.0 -1.9070664944514315 193.01256245802264
194.0 -1.9268819941752575 194.01275876620596
195.0 -1.946799940104781 195.01295710925814
196.0 -1.9668203328668874 196.01315749768068
197.0 -1.986943173091691 197.01335994197532
198.0 -2.0071684614125367 198.013564452644
199.0 -2.027496198465997 199.0137710401888
200.0 -2.047926384891878 200.01397971511201
201.0 -2.06845902133321 201.01419048791618
202.0 -2.0890941084362598 202.014403369104
203.0 -2.1098316468505196 203.0146183691784
204.0 -2.1306716372287133 204.01483549864244
205.0 -2.1516140802267962 205.0150547679995
206.0 -2.1726589765039512 206.01527618775293
207.0 -2.1938063267225947 207.01549976840658
208.0 -2.2150561315483728 208.01572552046434
209.0 -2.236408391650161 209.01595345443033
210.0 -2.257863107700067 210.0161835808088
211.0 -2.2794202803734294 211.01641591010437
212.0 -2.3010799103488178 212.01665045282178
213.0 -2.322841998308032 213.0168872194659
214.0 -2.344706544936104 214.01712622054197
215.0 -2.3666735509212975 215.01736746655533
216.0 -2.388743016955106 216.01761096801155
217.0 -2.4109149437322572 217.0178567354165
218.0 -2.4331893319507074 218.0181047792761
219.0 -2.4555661823116472 219.0183551100966
220.0 -2.4780454955194977 220.01860773838442
221.0 -2.5006272722819127 221.01886267464627
222.0 -2.523311513309778 222.019119929389
223.0 -2.5460982193172117 223.01937951311976
224.0 -2.568987391021564 224.01964143634575
225.0 -2.5919790291434173 225.01990570957457
226.0 -2.615073134406588 226.020172343314
227.0 -2.638269707538124 227.020441348072
228.0 -2.6615687492683056 228.02071273435678
229.0 -2.6849702603306467 229.02098651267676
230.0 -2.7084742414618956 230.02126269354062
231.0 -2.7320806934020303 231.02154128745718
232.0 -2.7557896168942655 232.02182230493565
233.0 -2.7796010126850477 233.02210575648527
234.0 -2.8035148815240567 234.02239165261568
235.0 -2.827531224164207 235.02268000383665
236.0 -2.851650041361646 236.02297082065823
237.0 -2.875871333875755 237.02326411359067
238.0 -2.9001951024691506 238.02355989314452
239.0 -2.924621347907681 239.02385816983045
240.0 -2.94915007096043 240.02415895415942
241.0 -2.973781272399717 241.0244622566427
242.0 -2.998514953001094 242.02476808779176
243.0 -3.0233511135433484 243.02507645811818
244.0 -3.048289754808502 244.02538737813398
245.0 -3.073330877581811 245.02570085835123
246.0 -3.0984744826517683 246.02601690928242
247.0 -3.1237205708101 247.02633554144018
248.0 -3.1490691428517694 248.02665676533744
249.0 -3.1745201995749723 249.02698059148724
250.0 -3.200073741781142 250.02730703040305
251.0 -3.2257297702749477 251.02763609259847
252.0 -3.2514882858642933 252.0279677885874
253.0 -3.2773492893603184 253.02830212888395
254.0 -3.3033127815774 254.02863912400255
255.0 -3.3293787633331497 255.0289787844578
256.0 -3.3555472354484146 256.0293211207645
257.0 -3.3818181987472804 257.0296661434379
258.0 -3.408191654057069 258.0300138629933
259.0 -3.4346676022083376 259.0303642899465
260.0 -3.46124604403488 260.03071743481314
261.0 -3.4879269803737287 261.0310733081096
262.0 -3.5147104120651522 262.03143192035225
263.0 -3.5415963399526547 263.0317932820577
264.0 -3.568584764882981 264.03215740374293
265.0 -3.59567568770611 265.0325242959251
266.0 -3.6228691092752605 266.03289396912174
267.0 -3.650165030446887 267.0332664338505
268.0 -3.6775634520806837 268.0336417006294
269.0 -3.7050643750395817 269.03401977997663
270.0 -3.7326678001897498 270.03440068241076
271.0 -3.7603737284005962 271.03478441845056
272.0 -3.7881821605447663 272.03517099861506
273.0 -3.8160930974981455 273.0355604334236
274.0 -3.844106540139856 274.03595273339573
275.0 -3.8722224893522594 275.03634790905136
276.0 -3.900440946020958 276.0367459709106
277.0 -3.9287619110347904 277.0371469294939
278.0 -3.9571853852858356 278.03755079532175
279.0 -3.985711369669413 279.0379575789154
280.0 -4.01433986508408 280.0383672907958
281.0 -4.043070872431632 281.0387799414846
282.0 -4.0719043926171095 282.0391955415036
283.0 -4.100840426548788 283.03961410137475
284.0 -4.129878975138184 284.0400356316205
285.0 -4.1590200393000565 285.0404601427634
286.0 -4.1882636199524015 286.0408876453264
287.0 -4.217609718016458 287.04131814983265
288.0 -4.247058334416706 288.0417516668057
289.0 -4.276609470080864 289.0421882067692
290.0 -4.306263125939891 290.0426277802472
291.0 -4.3360193029279905 291.0430703977641
292.0 -4.365878001982605 292.0435160698445
293.0 -4.395839224044417 293.04396480701325
294.0 -4.425902970057354 294.0444166197956
295.0 -4.456069240968583 295.044871518717
296.0 -4.486338037728513 296.04532951430326
297.0 -4.516709361290794 297.04579061708046
298.0 -4.54718321261232 298.04625483757485
299.0 -4.577759592653226 299.0467221863132
300.0 -4.608438502376892 300.0471926738225
301.0 -4.639219942749934 301.04766631062995
302.0 -4.670103914742218 302.04814310726306
303.0 -4.70109041932685 303.0486230742497
304.0 -4.7321794574801785 304.0491062221181
305.0 -4.763371030181795 305.0495925613966
306.0 -4.794665138414534 306.0500821026139
307.0 -4.826061783164477 307.05057485629925
308.0 -4.857560965420947 308.05107083298185
309.0 -4.889162686176507 309.0515700431915
310.0 -4.92086694642697 310.052072497458
311.0 -4.95267374717139 311.05257820631175
312.0 -4.984583089412064 312.0530871802833
313.0 -5.016594974154536 313.05359942990356
314.0 -5.048709402407595 314.0541149657036
315.0 -5.080926375183272 315.05463379821515
316.0 -5.1132458934968446 316.0551559379699
317.0 -5.145667958366836 317.0556813955
318.0 -5.178192570815012 318.0562101813379
319.0 -5.210819731866388 319.0567423060165
320.0 -5.243549442549219 320.0572777800686
321.0 -5.276381703895013 321.05781661402784
322.0 -5.30931651693852 322.0583588184279
323.0 -5.342353882717733 323.0589044038028
324.0 -5.375493802273896 324.05945338068676
325.0 -5.4087362766514975 325.0600057596146
326.0 -5.442081306898274 326.0605615511214
327.0 -5.475528894065207 327.0611207657423
328.0 -5.509079039206522 328.061683414013
329.0 -5.5427317433797 329.0622495064696
330.0 -5.5764870076454605 330.0628190536481
331.0 -5.610344833067776 331.0633920660855
332.0 -5.644305220713862 332.0639685543185
333.0 -5.678368171654185 333.0645485288844
334.0 -5.712533686962459 334.0651320003209
335.0 -5.746801767715646 335.0657189791659
336.0 -5.7811724149939545 336.06630947595767
337.0 -5.815645629880841 337.0669035012348
338.0 -5.850221413463016 338.06750106553625
339.0 -5.884899766830432 339.0681021794013
340.0 -5.919680691076293 340.06870685336946
341.0 -5.954564187297055 341.0693150979809
342.0 -5.989550256592415 342.06992692377565
343.0 -6.024638900065331 343.0705423412946
344.0 -6.059830118822001 344.07116136107845
345.0 -6.095123913971878 345.0717839936687
346.0 -6.130520286627663 346.07241024960695
347.0 -6.166019237905304 347.07304013943514
348.0 -6.201620768924007 348.0736736736956
349.0 -6.237324880806221 349.0743108629311
350.0 -6.273131574677649 350.0749517176846
351.0 -6.3090408516672465 351.0755962484995
352.0 -6.345052712907217 352.07624446591944
353.0 -6.381167159533014 353.0768963804886
354.0 -6.417384192683347 354.0775520027514
355.0 -6.453703813500173 355.0782113432525
356.0 -6.4901260231287035 356.0788744125371
357.0 -6.526650822717398 357.0795412211507
358.0 -6.5632782134179735 358.08021177963906
359.0 -6.600008196385397 359.08088609854843
360.0 -6.636840772777886 360.08156418842543
361.0 -6.673775943756911 361.0822460598167
362.0 -6.710813710487196 362.08293172326967
363.0 -6.747954074136718 363.08362118933195
364.0 -6.785197035876711 364.08431446855144
365.0 -6.822542596881656 365.0850115714766
366.0 -6.85999075832929 366.08571250865606
367.0 -6.897541521400607 367.08641729063885
368.0 -6.935194887279848 368.08712592797445
369.0 -6.972950857154515 369.0878384312126
370.0 -7.01080943221536 370.0885548109036
371.0 -7.048770613656392 371.0892750775978
372.0 -7.086834402674872 372.08999924184616
373.0 -7.125000800471317 373.09072731419985
374.0 -7.1632698082495025 374.09145930521066
375.0 -7.201641427216453 375.0921952254305
376.0 -7.240115658582453 376.0929350854118
377.0 -7.278692503561042 377.0936788957073
378.0 -7.317371963369013 378.09442666687005
379.0 -7.356154039226416 379.0951784094535
380.0 -7.39503873235656 380.09593413401177
381.0 -7.434026043986006 381.0966938510989
382.0 -7.473115975344576 382.0974575712696
383.0 -7.512308527665343 383.0982253050788
384.0 -7.551603702184644 384.098997063082
385.0 -7.591001500142068 385.0997728558349
386.0 -7.630501922780463 386.1005526938937
387.0 -7.670104971345935 387.10133658781484
388.0 -7.709810647087845 388.1021245481553
389.0 -7.749618951258817 389.1029165854724
390.0 -7.789529885114728 390.1037127103238
391.0 -7.829543449914719 391.10451293326764
392.0 -7.869659646921184 392.1053172648623
393.0 -7.909878477399777 393.1061257156666
394.0 -7.950199942619413 394.10693829624
395.0 -7.990624043852267 395.1077550171419
396.0 -8.03115078237377 396.1085758889325
397.0 -8.071780159462612 397.1094009221721
398.0 -8.112512176400749 398.1102301274216
399.0 -8.15334683447339 399.1110635152421
400.0 -8.194284134969008 400.1119010961954
401.0 -8.235324079179334 401.11274288084337
402.0 -8.276466668399362 402.1135888797484
403.0 -8.317711903927343 403.11443910347333
404.0 -8.359059787064796 404.1152935625814
405.0 -8.400510319116494 405.1161522676362
406.0 -8.442063501390473 406.11701522920174
407.0 -8.483719335198035 407.11788245784237
408.0 -8.525477821853737 408.1187539641229
409.0 -8.567338962675404 409.1196297586087
410.0 -8.609302758984123 410.12050985186534
411.0 -8.651369212104237 411.1213942544588
412.0 -8.693538323363356 412.1222829769555
413.0 -8.735810094092354 413.12317602992226
414.0 -8.778184525625367 414.1240734239265
415.0 -8.820661619299795 415.1249751695358
416.0 -8.863241376456298 416.1258812773183
417.0 -8.905923798438804 417.12679175784234
418.0 -8.9487088865945 418.1277066216771
419.0 -8.991596642273848 419.12862587939173
420.0 -9.034587066830559 420.129549541556
421.0 -9.077680161621618 421.1304776187401
422.0 -9.120875928007274 422.13141012151465
423.0 -9.16417436735104 423.13234706045057
424.0 -9.207575481019694 424.13328844611937
425.0 -9.251079270383276 425.13423428909283
426.0 -9.2946857368151 426.1351845999433
427.0 -9.338394881691737 427.13613938924334
428.0 -9.382206706393033 428.1370986675662
429.0 -9.426121212302089 429.13806244548533
430.0 -9.470138400805283 430.1390307335747
431.0 -9.514258273292254 431.14000354240886
432.0 -9.558480831155912 432.1409808825624
433.0 -9.602806075792426 433.1419627646108
434.0 -9.647234008601243 434.14294919912965
435.0 -9.691764630985075 435.1439401966951
436.0 -9.73639794434989 436.14493576788357
437.0 -9.78113395010494 437.14593592327213
438.0 -9.82597264966274 438.1469406734383
439.0 -9.870914044439067 439.1479500289597
440.0 -9.915958135852975 440.1489640004149
441.0 -9.961104925326783 441.14998259838245
442.0 -10.00635441428608 442.1510058334415
443.0 -10.051706604159728 443.15203371617184
444.0 -10.097161496379849 444.15306625715334
445.0 -10.142719092381846 445.1541034669666
446.0 -10.188379393604382 446.15514535619246
447.0 -10.2341424014894 447.1561919354124
448.0 -10.280008117482108 448.1572432152082
449.0 -10.325976543030983 449.1582992061621
450.0 -10.372047679587777 450.15935991885686
451.0 -10.418221528607512 451.16042536387556
452.0 -10.46449809154848 452.161495551802
453.0 -10.510877369872247 453.16257049322
454.0 -10.55735936504365 454.16365019871427
455.0 -10.603944078530796 455.1647346788697
456.0 -10.65063151180507 456.16582394427166
457.0 -10.697421666341123 457.16691800550615
458.0 -10.744314543616882 458.1680168731594
459.0 -10.791310145113547 459.16912055781825
460.0 -10.83840847231559 460.17022907006987
461.0 -10.88560952671076 461.171342420502
462.0 -10.932913309790079 462.17246061970286
463.0 -10.980319823047836 463.17358367826097
464.0 -11.027829067981603 464.1747116067654
465.0 -11.075441046092223 465.1758444158059
466.0 -11.123155758883813 466.1769821159722
467.0 -11.170973207863765 467.1781247178549
468.0 -11.218893394542752 468.179272232045
469.0 -11.266916320434712 469.18042466913374
470.0 -11.315041987056867 470.18158203971313
471.0 -11.363270395929712 471.1827443543755
472.0 -11.411601548577018 472.1839116237135
473.0 -11.460035446525833 473.18508385832064
474.0 -11.50857209130648 474.18626106879054
475.0 -11.557211484452562 475.1874432657174
476.0 -11.605953627500957 476.188630459696
477.0 -11.65479852199182 477.18982266132133
478.0 -11.703746169468586 478.19101988118933
479.0 -11.752796571477964 479.19222212989587
480.0 -11.801949729569944 480.1934294180376
481.0 -11.851205645297794 481.1946417562117
482.0 -11.900564320218063 482.1958591550156
483.0 -11.950025755890572 483.1970816250475
484.0 -11.999589953878429 484.19830917690575
485.0 -12.049256915748014 485.1995418211894
486.0 -12.099026643068994 486.200779568498
487.0 -12.148899137414306 487.2020224294314
488.0 -12.19887440036018 488.2032704145901
489.0 -12.248952433486117 489.2045235345751
490.0 -12.2991332383749 490.20578179998785
491.0 -12.349416816612594 491.2070452214301
492.0 -12.399803169788548 492.2083138095045
493.0 -12.450292299495386 493.2095875748137
494.0 -12.500884207329019 494.2108665279613
495.0 -12.551578894888635 495.2121506795511
496.0 -12.60237636377671 496.2134400401874
497.0 -12.653276615599 497.2147346204752
498.0 -12.704279651964539 498.21603443101975
499.0 -12.755385474485651 499.21733948242706
500.0 -12.80659408477794 500.2186497853033
501.0 -12.85790548446029 501.2199653502555
502.0 -12.909319675154876 502.22128618789094
503.0 -12.96083665848715 503.22261230881753
504.0 -13.01245643608585 504.2239437236436
505.0 -13.064179009583004 505.225280442978
506.0 -13.116004380613917 506.22662247743017
507.0 -13.167932550817183 507.2279698376099
508.0 -13.219963521834678 508.22932253412756
509.0 -13.272097295311571 509.2306805775942
510.0 -13.324333872896304 510.2320439786211
511.0 -13.376673256240617 511.2334127478202
512.0 -13.429115446999532 512.2347868958038
513.0 -13.481660446831352 513.236166433185
514.0 -13.53430825739768 514.2375513705772
515.0 -13.58705888036339 515.2389417185942
516.0 -13.639912317396655 516.2403374878506
517.0 -13.692868570168931 517.2417386889614
518.0 -13.745927640354966 518.2431453325421
519.0 -13.799089529632784 519.2445574292086
520.0 -13.852354239683715 520.2459749895776
521.0 -13.905721772192363 521.2473980242661
522.0 -13.95919212884663 522.2488265438915
523.0 -14.0127653113377 523.2502605590722
524.0 -14.06644132136005 524.2517000804265
525.0 -14.120220160611453 525.2531451185738
526.0 -14.17410183079296 526.2545956841337
527.0 -14.228086333608918 527.2560517877264
528.0 -14.282173670766968 528.2575134399725
529.0 -14.336363843978033 529.2589806514933
530.0 -14.390656854956339 530.2604534329107
531.0 -14.445052705419387 531.2619317948469
532.0 -14.499551397087988 532.2634157479247
533.0 -14.554152931686236 533.2649053027675
534.0 -14.60885731094151 534.2664004699992
535.0 -14.663664536584493 535.2679012602443
536.0 -14.718574610349156 536.2694076841277
537.0 -14.773587533972764 537.270919752275
538.0 -14.828703309195872 538.272437475312
539.0 -14.883921937762333 539.2739608638655
540.0 -14.93924342141929 540.2754899285625
541.0 -14.994667761917183 541.2770246800308
542.0 -15.050194961009748 542.2785651288984
543.0 -15.105825020454006 543.2801112857942
544.0 -15.161557942010285 544.2816631613474
545.0 -15.217393727442204 545.2832207661879
546.0 -15.27333237851667 546.284784110946
547.0 -15.329373897003899 547.2863532062527
548.0 -15.38551828467739 548.2879280627394
549.0 -15.441765543313949 549.2895086910381
550.0 -15.498115674693672 550.2910951017814
551.0 -15.554568680599953 551.2926873056024
552.0 -15.611124562819487 552.2942853131348
553.0 -15.667783323142261 553.2958891350127
554.0 -15.724544963361563 554.297498781871
555.0 -15.781409485273977 555.2991142643449
556.0 -15.838376890679388 556.3007355930704
557.0 -15.895447181380979 557.3023627786839
558.0 -15.95262035918523 558.3039958318225
559.0 -16.00989642590192 559.3056347631235
560.0 -16.06727538334413 560.3072795832252
561.0 -16.124757233328236 561.308930302766
562.0 -16.182341977673925 562.3105869323856
563.0 -16.240029618204165 563.3122494827235
564.0 -16.297820156745246 564.31391796442
565.0 -16.355713595126744 565.3155923881162
566.0 -16.413709935181544 566.3172727644535
567.0 -16.471809178745826 567.3189591040739
568.0 -16.530011327659082 568.3206514176202
569.0 -16.588316383764095 569.3223497157354
570.0 -16.646724348906957 570.3240540090634
571.0 -16.705235224937056 571.3257643082484
572.0 -16.76384901370709 572.3274806239353
573.0 -16.822565717073065 573.3292029667699
574.0 -16.881385336894272 574.3309313473978
575.0 -16.94030787503332 575.3326657764659
576.0 -16.999333333356123 576.3344062646214
577.0 -17.058461713731894 577.3361528225118
578.0 -17.117693018033155 578.3379054607859
579.0 -17.17702724813572 579.3396641900922
580.0 -17.23646440591873 580.3414290210806
