x,y,z,r,s,phi,theta,tri_spin,type,grid_pos,dx_from_flat,dy_from_flat,tri_points_up,geometry
-325.629074,-94.001017,5.318774,338.925486,338.982753,-163.897886,1.828006,,module,front,0.05502,0.015883,0,POINT Z (-325.6290743466272 -94.00101686499687 5.318774127117506)
-325.632666,-47.001027,4.994347,329.007188,329.059149,-171.786789,1.780025,,module,front,0.051428,0.007423,1,POINT Z (-325.6326657737476 -47.00102681035205 4.9943471962030275)
-366.311956,-117.494615,6.961704,384.693948,384.780745,-162.216349,2.041616,,module,front,0.08265,0.02651,1,POINT Z (-366.31195641442224 -117.49461480180285 6.9617036783063195)
-284.934763,-117.505116,4.350474,308.21303,308.25502,-157.589089,1.677729,,module,front,0.038819,0.016009,1,POINT Z (-284.93476335081033 -117.50511594433758 4.350473837993342)
-162.834532,94.012561,1.555594,188.025122,188.033799,150.0,1.049979,,module,front,0.007515,-0.004339,1,POINT Z (-162.83453210518033 94.0125609442926 1.555593854749932)
-122.127011,117.516771,1.257471,169.485098,169.491376,136.102114,0.948926,,module,front,0.004524,-0.004353,0,POINT Z (-122.12701135775208 117.51677147120444 1.2574706144830565)
-203.537368,117.512354,2.466103,235.024708,235.042249,150.0,1.30182,,module,front,0.015191,-0.008771,0,POINT Z (-203.53736754208254 117.51235394056913 2.4661034634147687)
-162.836015,47.006709,1.257471,169.485098,169.491376,163.897886,0.948926,,module,front,0.006032,-0.001741,0,POINT Z (-162.83601514366944 47.00670858848174 1.2574706144830565)
-244.242433,47.004478,2.774643,248.724319,248.745336,169.106605,1.373872,,module,front,0.020638,-0.003972,0,POINT Z (-244.24243273314028 47.00447809533588 2.7746428457772017)
-244.239982,94.008013,3.085529,261.707233,261.731972,158.948276,1.441525,,module,front,0.023088,-0.008887,1,POINT Z (-244.23998249916406 94.00801309517456 3.085528506477417)
-284.94079,23.50152,3.713927,285.908334,285.941237,175.284996,1.566427,,module,front,0.032792,-0.002705,1,POINT Z (-284.94079033887124 23.50152028646462 3.713926565151443)
-203.541271,23.502922,1.856476,204.89372,204.905082,173.413224,1.141132,,module,front,0.011288,-0.001303,1,POINT Z (-203.54127112317647 23.502921534832897 1.8564758480575374)
-81.414144,235.02239,2.774643,248.724319,248.745336,109.106605,1.373872,,module,front,0.006879,-0.019859,1,POINT Z (-81.4141442443801 235.02239047667928 2.7746428457772003)
-40.706664,258.522036,3.085529,261.707233,261.731972,98.948276,1.441525,,module,front,0.003848,-0.024438,0,POINT Z (-40.7066637498607 258.52203601173005 3.085528506477417)
-122.117482,258.516723,3.713927,285.908334,285.941237,115.284996,1.566427,,module,front,0.014054,-0.029751,0,POINT Z (-122.11748157380197 258.5167231511102 3.7139265651514393)
-81.416508,188.023372,1.856476,204.89372,204.905082,113.413224,1.141132,,module,front,0.004515,-0.010427,0,POINT Z (-81.4165084492706 188.0233722786632 1.8564758480575367)
-162.828288,188.017912,2.774643,248.724319,248.745336,130.893395,1.373872,,module,front,0.013759,-0.015887,0,POINT Z (-162.82828848876017 188.01791238134342 2.7746428457772003)
-162.823309,235.015203,3.713927,285.908334,285.941237,124.715004,1.566427,,module,front,0.018738,-0.027046,1,POINT Z (-162.8233087650693 235.01520286464566 3.7139265651514415)
-203.533319,164.514023,3.085529,261.707233,261.731972,141.051724,1.441525,,module,front,0.01924,-0.015552,1,POINT Z (-203.5333187493034 164.51402291655546 3.085528506477417)
-122.124763,164.520451,1.856476,204.89372,204.905082,126.586776,1.141132,,module,front,0.006773,-0.009124,1,POINT Z (-122.12476267390583 164.52045074383028 1.856475848057536)
0.0,375.987092,6.630687,375.987092,376.067599,90.0,2.002034,,module,front,0.0,-0.080507,1,POINT Z (0.000000000000023 375.9870922608711 6.630687120704231)
40.700384,399.47242,7.626665,401.540454,401.640372,84.182474,2.116666,,module,front,-0.010128,-0.099403,0,POINT Z (40.70038401803666 399.4724203718884 7.626665290246758)
-40.700384,399.47242,7.626665,401.540454,401.640372,95.817526,2.116666,,module,front,0.010128,-0.099403,0,POINT Z (-40.700384018036786 399.47242037188835 7.6266652902467555)
0.0,329.007188,4.994347,329.007188,329.059149,90.0,1.780025,,module,front,0.0,-0.051961,0,POINT Z (0.0000000000000201 329.00718767246497 4.994347196203025)
-81.407269,329.003559,5.318774,338.925486,338.982753,103.897886,1.828006,,module,front,0.013755,-0.05559,0,POINT Z (-81.40726858665681 329.00355902748925 5.318774127117506)
-81.402657,375.982767,6.961704,384.693948,384.780745,102.216349,2.041616,,module,front,0.018367,-0.084832,1,POINT Z (-81.40265698098273 375.98276736576906 6.961703678306316)
-122.11225,305.506674,4.994347,329.007188,329.059149,111.786789,1.780025,,module,front,0.019286,-0.04825,1,POINT Z (-122.11224966515529 305.50667426728893 4.9943471962030275)
-40.704966,305.513301,4.350474,308.21303,308.25502,97.589089,1.677729,,module,front,0.005546,-0.041623,1,POINT Z (-40.70496619297289 305.51330145527766 4.350473837993339)
81.384613,516.861708,13.326485,523.229854,523.463944,81.051724,2.584495,,module,front,-0.036411,-0.231241,1,POINT Z (81.38461254327015 516.8617075572545 13.326485158674268)
122.070214,540.325745,14.974316,553.943182,554.22145,77.269472,2.676678,,module,front,-0.061321,-0.271428,0,POINT Z (122.07021439960805 540.3257454346425 14.974315756758624)
40.690951,540.337421,14.318775,541.867402,542.127891,85.693381,2.641918,,module,front,-0.019561,-0.259753,0,POINT Z (40.690950694757746 540.3374207556046 14.318774624340607)
81.391185,469.912226,10.983454,476.908823,477.08366,80.17357,2.423798,,module,front,-0.029838,-0.172272,0,POINT Z (81.3911850824684 469.91222617025846 10.983454285066948)
0.0,469.91775,10.647061,469.91775,470.084499,90.0,2.397519,,module,front,0.0,-0.166749,0,POINT Z (0.0000000000000288 469.91774982273483 10.64706149537423)
0.0,516.867554,12.993734,516.867554,517.092949,90.0,2.563892,,module,front,0.0,-0.225394,1,POINT Z (0.0000000000000316 516.867554147279 12.9937336319653)
-40.697511,446.437664,9.637611,448.28883,448.432031,95.208719,2.313174,,module,front,0.013,-0.14261,1,POINT Z (-40.69751139645911 446.4376640417774 9.637611055554956)
40.697511,446.437664,9.637611,448.28883,448.432031,84.791281,2.313174,,module,front,-0.013,-0.14261,1,POINT Z (40.69751139645917 446.4376640417774 9.637611055554956)
-244.199451,-328.973443,7.960406,409.703427,409.810165,-126.586776,2.152267,,module,front,0.06362,0.085706,1,POINT Z (-244.19945061502509 -328.9734432799347 7.960405567480759)
-203.511308,-305.493003,6.300783,367.073327,367.14773,-123.670497,1.960977,,module,front,0.04125,0.061921,0,POINT Z (-203.51130844894908 -305.49300266194746 6.300783337152622)
-284.896018,-305.471758,8.294849,417.706518,417.820242,-133.003912,2.186664,,module,front,0.077565,0.083167,0,POINT Z (-284.89601768758416 -305.4717575055325 8.29484906530146)
-244.185068,-375.947507,9.637611,448.28883,448.432031,-123.004492,2.313174,,module,front,0.078002,0.120092,0,POINT Z (-244.18506837875478 -375.94750656149665 9.637611055554949)
-325.553343,-375.916621,11.990935,497.290946,497.490671,-130.893395,2.497486,,module,front,0.130751,0.150978,0,POINT Z (-325.553343452254 -375.916620955483 11.99093504334347)
-325.572403,-328.946301,10.310555,462.820763,462.979538,-134.704656,2.370341,,module,front,0.111691,0.112848,1,POINT Z (-325.57240327277367 -328.9463006729362 10.310555435439305)
-366.218556,-399.379833,14.318775,541.867402,542.127891,-132.51983,2.641918,,module,front,0.17605,0.191991,1,POINT Z (-366.21855625282 -399.37983273240343 14.318774624340593)
-284.862485,-399.41605,11.655493,490.591292,490.782625,-125.496367,2.473759,,module,front,0.111098,0.155774,1,POINT Z (-284.8624848626554 -399.4160499138795 11.655492808675914)
-162.828288,-188.017912,2.774643,248.724319,248.745336,-130.893395,1.373872,,module,front,0.013759,0.015887,1,POINT Z (-162.82828848876017 -188.01791238134342 2.7746428457772003)
-122.124763,-164.520451,1.856476,204.89372,204.905082,-126.586776,1.141132,,module,front,0.006773,0.009124,0,POINT Z (-122.12476267390586 -164.5204507438303 1.8564758480575367)
-203.533319,-164.514023,3.085529,261.707233,261.731972,-141.051724,1.441525,,module,front,0.01924,0.015552,0,POINT Z (-203.5333187493034 -164.51402291655546 3.085528506477417)
-162.823309,-235.015203,3.713927,285.908334,285.941237,-124.715004,1.566427,,module,front,0.018738,0.027046,0,POINT Z (-162.8233087650693 -235.01520286464566 3.7139265651514415)
-244.221806,-235.002542,5.318774,338.925486,338.982753,-136.102114,1.828006,,module,front,0.041265,0.039707,0,POINT Z (-244.22180575997038 -235.00254216249235 5.318774127117507)
-244.229797,-188.008186,4.350474,308.21303,308.25502,-142.410911,1.677729,,module,front,0.033274,0.025614,1,POINT Z (-244.2297971578374 -188.00818551094017 4.350473837993342)
-284.909299,-258.488153,6.961704,384.693948,384.780745,-137.783651,2.041616,,module,front,0.064283,0.058322,1,POINT Z (-284.9092994334395 -258.4881525639662 6.961703678306316)
-203.520416,-258.505647,4.994347,329.007188,329.059149,-128.213211,1.780025,,module,front,0.032143,0.040827,1,POINT Z (-203.52041610859231 -258.5056474569368 4.994347196203029)
