x,y,z,r,s,phi,theta,tri_spin,type,grid_pos,dx_from_flat,dy_from_flat,tri_points_up,geometry
-349.428709,158.64398,6.925612,383.755567,383.84167,155.581497,2.037375,,module,front,0.078401,-0.035595,1,POINT Z (-349.42870929951107 158.64397958332032 6.925612392643619)
-274.801103,158.656491,4.626218,317.312981,317.359149,150.0,1.72274,,module,front,0.039982,-0.023084,1,POINT Z (-274.80110282536003 158.65649068982762 4.626217999337796)
-156.050139,360.382359,7.274395,392.717571,392.810459,113.413224,2.077619,,module,front,0.03691,-0.08524,1,POINT Z (-156.05013901121396 360.38235906081167 7.274394831830918)
-118.724759,381.92764,7.562729,399.955361,400.05399,107.268206,2.109694,,module,front,0.029278,-0.094184,0,POINT Z (-118.724758684658 381.9276403616309 7.562728874006342)
-193.364403,381.911894,8.738607,428.072992,428.19621,116.853382,2.230446,,module,front,0.055658,-0.10993,0,POINT Z (-193.36440323137404 381.9118935180703 8.738607253733564)
-156.058006,317.300099,5.81943,353.600699,353.666504,116.189387,1.897942,,module,front,0.029043,-0.05905,0,POINT Z (-156.05800622378084 317.3000988270325 5.819429994307505)
-234.075209,315.334564,7.274395,392.717571,392.810459,126.586776,2.077619,,module,front,0.055365,-0.074585,0,POINT Z (-234.075208516821 315.3345641782102 7.274394831830918)
-234.0632,358.414432,8.738607,428.072992,428.19621,123.146618,2.230446,,module,front,0.067373,-0.103167,1,POINT Z (-234.06320017837916 358.4144321450226 8.73860725373355)
-271.39666,293.782477,7.562729,399.955361,400.05399,132.731794,2.109694,,module,front,0.066927,-0.072447,1,POINT Z (-271.3966596182904 293.78247725990633 7.562728874006347)
-196.760943,293.800247,5.81943,353.600699,353.666504,123.810613,1.897942,,module,front,0.036618,-0.054677,1,POINT Z (-196.76094309563268 293.8002472672605 5.8194299943075025)
-78.011613,495.440287,12.206006,501.544504,501.749663,98.948276,2.51229,,module,front,0.031911,-0.202662,1,POINT Z (-78.0116134992512 495.4402865908066 12.206005569763981)
-40.692644,516.970172,13.082417,518.569233,518.796937,94.500684,2.569451,,module,front,0.017868,-0.227002,0,POINT Z (-40.692643641128775 516.9701719133778 13.082417085154745)
-115.323617,516.959949,13.666345,529.666995,529.91005,102.575654,2.60483,,module,front,0.05292,-0.237225,0,POINT Z (-115.32361703730072 516.9599488996598 13.666345310418093)
-78.017242,452.3821,10.134317,459.060187,459.214834,99.784907,2.35574,,module,front,0.026282,-0.152398,0,POINT Z (-78.01724207015666 452.3821004126006 10.134317189828712)
-156.029908,450.419547,10.972331,476.679243,476.853811,109.106605,2.422943,,module,front,0.057141,-0.164951,0,POINT Z (-156.02990810454088 450.41954722894616 10.97233123489169)
-156.018823,493.477153,13.029451,517.55345,517.779774,107.544985,2.566137,,module,front,0.068226,-0.215795,1,POINT Z (-156.01882264523076 493.4771532440785 13.029451246159786)
-193.35128,428.877708,10.67238,470.447453,470.614806,114.267318,2.399527,,module,front,0.068781,-0.152566,1,POINT Z (-193.35128026833092 428.8777078646627 10.672380216765045)
-118.716732,428.895502,9.489392,445.022487,445.162326,105.471897,2.300054,,module,front,0.037304,-0.134772,1,POINT Z (-118.71673179424911 428.89550152576425 9.489391595865587)
-390.058067,-315.280182,12.206006,501.544504,501.749663,-141.051724,2.51229,,module,front,0.159555,0.128967,1,POINT Z (-390.0580674962557 -315.28018237596774 12.206005569763978)
-352.76577,-293.755964,10.134317,459.060187,459.214834,-140.215093,2.35574,,module,front,0.11884,0.09896,0,POINT Z (-352.76577013959655 -293.755963772256 10.134317189828707)
-427.36298,-293.725949,13.082417,518.569233,518.796937,-145.499316,2.569451,,module,front,0.187655,0.128975,0,POINT Z (-427.36298005522946 -293.7259490970537 13.08241708515475)
-390.03864,-358.353156,13.666345,529.666995,529.91005,-137.424346,2.60483,,module,front,0.178982,0.164442,0,POINT Z (-390.0386399675604 -358.3531564604402 13.666345310418093)
-312.113432,-180.198774,6.059669,360.397549,360.467599,-150.0,1.929887,,module,front,0.060665,0.035025,1,POINT Z (-312.1134324819011 -180.19877426112365 6.059669114632253)
-274.801103,-158.656491,4.626218,317.312981,317.359149,-150.0,1.72274,,module,front,0.039982,0.023084,0,POINT Z (-274.80110282536003 -158.6564906898276 4.626217999337794)
-349.428709,-158.64398,6.925612,383.755567,383.84167,-155.581497,2.037375,,module,front,0.078401,0.035595,0,POINT Z (-349.42870929951107 -158.64397958332032 6.925612392643619)
-312.104071,-223.292149,6.925612,383.755567,383.84167,-144.418503,2.037375,,module,front,0.070027,0.0501,0,POINT Z (-312.1040711263708 -223.2921492733241 6.925612392643619)
-390.091666,-225.219529,9.735798,450.439057,450.584499,-150.0,2.321758,,module,front,0.125956,0.072721,0,POINT Z (-390.0916662352988 -225.2195285095794 9.735798052246349)
-390.103871,-182.130691,8.845339,430.525979,430.651518,-154.973191,2.240674,,module,front,0.113752,0.053108,1,POINT Z (-390.10387084265847 -182.13069143378206 8.845338766989775)
-427.381805,-246.749,11.800524,493.498,493.692949,-150.0,2.484114,,module,front,0.16883,0.097474,1,POINT Z (-427.381804613325 -246.7489999402512 11.800524362554032)
-352.781741,-246.774517,8.845339,430.525979,430.651518,-145.026809,2.240674,,module,front,0.102869,0.071958,1,POINT Z (-352.78174101180934 -246.7745165474947 8.845338766989773)
-234.112546,-45.05498,2.540467,238.408547,238.426906,-169.106605,1.319679,,module,front,0.018028,0.003469,1,POINT Z (-234.11254577687225 -45.0549804416486 2.5404665651137597)
-196.787399,-23.503011,1.733409,198.185953,198.196187,-173.189225,1.104981,,module,front,0.010162,0.001214,0,POINT Z (-196.78739917578113 -23.503011302486 1.7334086968202644)
-271.435532,-23.501796,3.356584,272.451065,272.479223,-175.051481,1.497063,,module,front,0.028054,0.002429,0,POINT Z (-271.4355324605002 -23.501795951942366 3.3565838360483427)
-234.11054,-88.159356,2.808122,250.159583,250.18099,-159.365056,1.381382,,module,front,0.020034,0.007544,0,POINT Z (-234.1105397579428 -88.15935562045968 2.8081219133129904)
-312.126198,-90.103072,4.862373,324.871246,324.921103,-163.897886,1.759853,,module,front,0.0479,0.013828,0,POINT Z (-312.1261975191171 -90.10307207939823 4.862373396938335)
-312.129222,-47.001692,4.575074,315.648238,315.69362,-171.436508,1.714514,,module,front,0.044876,0.006758,1,POINT Z (-312.12922161303004 -47.00169220959622 4.5750739781520435)
-349.436385,-111.648527,6.29225,366.839448,366.913696,-162.280783,1.959893,,module,front,0.070725,0.022598,1,POINT Z (-349.4363851951542 -111.64852716444547 6.292249843088411)
-274.80674,-111.65717,4.012813,296.624457,296.661528,-157.887522,1.621314,,module,front,0.034345,0.013955,1,POINT Z (-274.8067404959145 -111.6571700083785 4.012813418793294)
-156.080465,90.113099,1.426073,180.226198,180.233799,150.0,1.007576,,module,front,0.006583,-0.003801,1,POINT Z (-156.08046547212635 90.11309875557421 1.4260733935332988)
-118.749984,111.667314,1.1612,163.006588,163.012151,136.760629,0.913419,,module,front,0.004053,-0.003811,0,POINT Z (-118.74998368640806 111.66731380626355 1.161199985339669)
-193.407144,111.663667,2.218286,223.327333,223.342249,150.0,1.239784,,module,front,0.012918,-0.007458,0,POINT Z (-193.40714409423416 111.66366670600281 2.2182859162437647)
-156.081722,47.006846,1.1612,163.006588,163.012151,163.239371,0.913419,,module,front,0.005327,-0.001604,0,POINT Z (-156.08172237179704 47.006845668285244 1.1611999853396686)
-234.112546,45.05498,2.540467,238.408547,238.426906,169.106605,1.319679,,module,front,0.018028,-0.003469,0,POINT Z (-234.11254577687225 45.0549804416486 2.5404665651137597)
-234.11054,88.159356,2.808122,250.159583,250.18099,159.365056,1.381382,,module,front,0.020034,-0.007544,1,POINT Z (-234.1105397579428 88.15935562045968 2.8081219133129904)
-271.435532,23.501796,3.356584,272.451065,272.479223,175.051481,1.497063,,module,front,0.028054,-0.002429,1,POINT Z (-271.4355324605002 23.501795951942366 3.3565838360483427)
-196.787399,23.503011,1.733409,198.185953,198.196187,173.189225,1.104981,,module,front,0.010162,-0.001214,1,POINT Z (-196.7873991757812 23.50301130248601 1.7334086968202655)
-78.037515,225.274902,2.540467,238.408547,238.426906,109.106605,1.319679,,module,front,0.006009,-0.017347,1,POINT Z (-78.03751525895741 225.2749022082429 2.5404665651137592)
-40.707028,246.825353,2.808122,250.159583,250.18099,99.365056,1.381382,,module,front,0.003483,-0.021122,0,POINT Z (-40.70702833038691 246.8253525342951 2.8081219133129895)
-115.364614,246.820965,3.356584,272.451065,272.479223,115.051481,1.497063,,module,front,0.011923,-0.02551,0,POINT Z (-115.36461390130978 246.82096457651988 3.356583836048341)
