# INFILE= spec-elg-z1.622.dat
# AIRMASS= 1.00000
# MODEL= elg
# EXPTIME= 1000.00
# READNOISE= 3.00000;2.90000;2.90000
#
# Median (S/N)= 0.0000000
# Total (S/N)^2= 59.402461
#
# Wave    Flux        Invvar      S/N         Counts_obj  Counts_sky  Counts_read  FWHM
# [Ang] [e-17 erg/s/cm^2/Ang] [1/(e-17 erg/s/cm^2/Ang)^2] [] [electrons] [electrons] [electrons] [Ang]
  3566.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.1277e+01  5.1883e+00   1.739
  3567.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.0217e+01  5.1879e+00   1.739
  3567.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.0946e+01  5.1875e+00   1.739
  3568.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.2567e+01  5.1871e+00   1.739
  3568.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.4388e+01  5.1867e+00   1.739
  3569.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.5566e+01  5.1863e+00   1.739
  3569.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.5789e+01  5.1859e+00   1.739
  3570.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.5725e+01  5.1855e+00   1.739
  3570.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.5323e+01  5.1851e+00   1.738
  3571.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.3403e+01  5.1847e+00   1.738
  3571.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.0083e+01  5.1844e+00   1.738
  3572.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.7464e+01  5.1840e+00   1.738
  3572.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.7404e+01  5.1836e+00   1.738
  3573.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.9647e+01  5.1833e+00   1.738
  3573.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.1960e+01  5.1829e+00   1.738
  3574.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.2303e+01  5.1826e+00   1.738
  3574.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.1161e+01  5.1822e+00   1.738
  3575.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.0618e+01  5.1818e+00   1.738
  3575.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.1437e+01  5.1815e+00   1.738
  3576.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.2578e+01  5.1811e+00   1.738
  3576.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.2970e+01  5.1808e+00   1.738
  3577.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.2579e+01  5.1804e+00   1.738
  3577.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.2167e+01  5.1801e+00   1.738
  3578.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.2354e+01  5.1797e+00   1.738
  3578.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.2878e+01  5.1794e+00   1.738
  3579.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.3140e+01  5.1790e+00   1.738
  3579.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.3095e+01  5.1787e+00   1.738
  3580.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.2818e+01  5.1783e+00   1.738
  3580.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.1893e+01  5.1780e+00   1.737
  3581.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.0347e+01  5.1776e+00   1.737
  3581.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.9270e+01  5.1773e+00   1.737
  3582.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.9540e+01  5.1770e+00   1.737
  3582.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.0930e+01  5.1766e+00   1.737
  3583.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.2751e+01  5.1763e+00   1.737
  3583.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.4323e+01  5.1759e+00   1.737
  3584.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.4765e+01  5.1756e+00   1.737
  3584.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.3534e+01  5.1753e+00   1.737
  3585.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.1206e+01  5.1749e+00   1.737
  3585.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.8800e+01  5.1746e+00   1.737
  3586.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.6879e+01  5.1743e+00   1.737
  3586.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.5585e+01  5.1740e+00   1.737
  3587.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.4851e+01  5.1736e+00   1.737
  3587.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.4600e+01  5.1733e+00   1.737
  3588.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.4944e+01  5.1730e+00   1.737
  3588.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.5945e+01  5.1727e+00   1.737
  3589.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.7361e+01  5.1723e+00   1.737
  3589.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.8764e+01  5.1720e+00   1.737
  3590.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.9774e+01  5.1717e+00   1.737
  3590.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.0384e+01  5.1714e+00   1.737
  3591.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.1025e+01  5.1711e+00   1.736
  3591.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.1888e+01  5.1708e+00   1.736
  3592.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.2639e+01  5.1704e+00   1.736
  3592.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.3015e+01  5.1701e+00   1.736
  3593.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.2950e+01  5.1698e+00   1.736
  3593.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.2307e+01  5.1695e+00   1.736
  3594.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.1317e+01  5.1692e+00   1.736
  3594.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.0795e+01  5.1689e+00   1.736
  3595.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.1321e+01  5.1686e+00   1.736
  3595.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.2645e+01  5.1683e+00   1.736
  3596.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.4122e+01  5.1680e+00   1.736
  3596.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.5328e+01  5.1677e+00   1.736
  3597.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.6312e+01  5.1674e+00   1.736
  3597.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.7437e+01  5.1671e+00   1.736
  3598.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.8468e+01  5.1668e+00   1.736
  3598.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.8349e+01  5.1665e+00   1.736
  3599.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.6750e+01  5.1662e+00   1.736
  3599.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.4736e+01  5.1659e+00   1.736
  3600.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.3185e+01  5.1656e+00   1.736
  3600.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.2184e+01  5.1653e+00   1.736
  3601.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.2010e+01  5.1650e+00   1.736
  3601.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.2696e+01  5.1647e+00   1.735
  3602.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.3256e+01  5.1645e+00   1.735
  3602.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.3056e+01  5.1642e+00   1.735
  3603.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.2791e+01  5.1639e+00   1.735
  3603.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.2998e+01  5.1636e+00   1.735
  3604.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.3132e+01  5.1633e+00   1.735
  3604.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.2864e+01  5.1630e+00   1.735
  3605.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.2552e+01  5.1628e+00   1.735
  3605.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.2176e+01  5.1625e+00   1.735
  3606.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.1512e+01  5.1622e+00   1.735
  3606.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.1011e+01  5.1619e+00   1.735
  3607.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.1186e+01  5.1616e+00   1.735
  3607.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.1756e+01  5.1614e+00   1.735
  3608.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.2083e+01  5.1611e+00   1.735
  3608.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.1812e+01  5.1608e+00   1.735
  3609.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.0939e+01  5.1606e+00   1.735
  3609.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.9834e+01  5.1603e+00   1.735
  3610.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.9101e+01  5.1600e+00   1.735
