#   WAVELENGTH        FLUX
#------------- -----------
     3550.900     0.98444
     3551.000     0.98513
     3551.100     0.98605
     3551.200     0.98697
     3551.300     0.98789
     3551.400     0.98881
     3551.500     0.98972
     3551.600     0.99064
     3551.700     0.99156
     3551.800     0.99199
     3551.900     0.99219
     3552.000     0.99240
     3552.100     0.99261
     3552.200     0.99282
     3552.300     0.99303
     3552.400     0.99323
     3552.500     0.99344
     3552.600     0.99309
     3552.700     0.99221
     3552.800     0.99133
     3552.900     0.99045
     3553.000     0.98957
     3553.100     0.98869
     3553.200     0.98781
     3553.300     0.98693
     3553.400     0.98633
     3553.500     0.98632
     3553.600     0.98630
     3553.700     0.98629
     3553.800     0.98627
     3553.900     0.98626
     3554.000     0.98624
     3554.100     0.98622
     3554.200     0.98616
     3554.300     0.98583
     3554.400     0.98550
     3554.500     0.98516
     3554.600     0.98483
     3554.700     0.98450
     3554.800     0.98417
     3554.900     0.98383
     3555.000     0.98350
     3555.100     0.98290
     3555.200     0.98230
     3555.300     0.98169
     3555.400     0.98108
     3555.500     0.98047
     3555.600     0.97986
     3555.700     0.97926
     3555.800     0.97865
     3555.900     0.97859
     3556.000     0.97868
     3556.100     0.97878
     3556.200     0.97887
     3556.300     0.97896
     3556.400     0.97906
     3556.500     0.97915
     3556.600     0.97924
     3556.700     0.97915
     3556.800     0.97893
     3556.900     0.97871
     3557.000     0.97849
     3557.100     0.97827
     3557.200     0.97805
     3557.300     0.97783
     3557.400     0.97760
     3557.500     0.97740
     3557.600     0.97722
     3557.700     0.97704
     3557.800     0.97686
     3557.900     0.97667
     3558.000     0.97649
     3558.100     0.97631
     3558.200     0.97613
     3558.300     0.97605
     3558.400     0.97636
     3558.500     0.97666
     3558.600     0.97697
     3558.700     0.97727
     3558.800     0.97758
     3558.900     0.97788
     3559.000     0.97819
     3559.100     0.97849
     3559.200     0.97845
     3559.300     0.97841
     3559.400     0.97837
     3559.500     0.97833
     3559.600     0.97829
     3559.700     0.97825
     3559.800     0.97821
     3559.900     0.97817
     3560.000     0.97793
     3560.100     0.97764
     3560.200     0.97735
     3560.300     0.97706
     3560.400     0.97677
     3560.500     0.97648
     3560.600     0.97619
     3560.700     0.97590
     3560.800     0.97571
     3560.900     0.97558
     3561.000     0.97544
     3561.100     0.97531
     3561.200     0.97518
     3561.300     0.97505
     3561.400     0.97492
     3561.500     0.97479
     3561.600     0.97467
     3561.700     0.97457
     3561.800     0.97447
     3561.900     0.97438
     3562.000     0.97428
     3562.100     0.97418
     3562.200     0.97408
     3562.300     0.97398
     3562.400     0.97385
     3562.500     0.97356
     3562.600     0.97327
     3562.700     0.97299
     3562.800     0.97270
     3562.900     0.97242
     3563.000     0.97213
     3563.100     0.97185
     3563.200     0.97156
     3563.300     0.97134
     3563.400     0.97111
     3563.500     0.97089
     3563.600     0.97066
     3563.700     0.97044
     3563.800     0.97021
     3563.900     0.96999
     3564.000     0.96976
     3564.100     0.96958
     3564.200     0.96941
     3564.300     0.96924
     3564.400     0.96908
     3564.500     0.96891
     3564.600     0.96874
     3564.700     0.96857
     3564.800     0.96840
     3564.900     0.96781
     3565.000     0.96694
     3565.100     0.96606
     3565.200     0.96519
     3565.300     0.96432
     3565.400     0.96345
     3565.500     0.96257
     3565.600     0.96170
     3565.700     0.96116
     3565.800     0.96112
     3565.900     0.96109
     3566.000     0.96106
     3566.100     0.96103
     3566.200     0.96099
     3566.300     0.96096
     3566.400     0.96093
     3566.500     0.96098
     3566.600     0.96142
     3566.700     0.96186
     3566.800     0.96230
     3566.900     0.96274
     3567.000     0.96318
     3567.100     0.96362
     3567.200     0.96406
     3567.300     0.96450
     3567.400     0.96426
     3567.500     0.96400
     3567.600     0.96374
     3567.700     0.96347
     3567.800     0.96321
     3567.900     0.96295
     3568.000     0.96268
     3568.100     0.96242
     3568.200     0.96171
     3568.300     0.96085
     3568.400     0.96000
     3568.500     0.95914
     3568.600     0.95828
     3568.700     0.95743
     3568.800     0.95657
     3568.900     0.95571
     3569.000     0.95530
     3569.100     0.95528
     3569.200     0.95525
     3569.300     0.95523
     3569.400     0.95520
     3569.500     0.95518
     3569.600     0.95515
     3569.700     0.95513
     3569.800     0.95514
     3569.900     0.95521
     3570.000     0.95529
     3570.100     0.95537
     3570.200     0.95545
     3570.300     0.95552
     3570.400     0.95560
     3570.500     0.95568
     3570.600     0.95568
     3570.700     0.95499
     3570.800     0.95429
     3570.900     0.95360
     3571.000     0.95291
     3571.100     0.95222
     3571.200     0.95153
     3571.300     0.95084
     3571.400     0.95015
     3571.500     0.95019
     3571.600     0.95033
     3571.700     0.95048
     3571.800     0.95062
     3571.900     0.95077
     3572.000     0.95092
     3572.100     0.95106
     3572.200     0.95121
     3572.300     0.95115
     3572.400     0.95097
     3572.500     0.95080
     3572.600     0.95063
     3572.700     0.95046
     3572.800     0.95029
     3572.900     0.95011
     3573.000     0.94994
     3573.100     0.94976
     3573.200     0.94955
     3573.300     0.94935
     3573.400     0.94915
     3573.500     0.94895
     3573.600     0.94875
     3573.700     0.94854
     3573.800     0.94834
     3573.900     0.94829
     3574.000     0.94884
     3574.100     0.94939
     3574.200     0.94995
     3574.300     0.95050
     3574.400     0.95106
     3574.500     0.95161
     3574.600     0.95216
     3574.700     0.95272
     3574.800     0.95236
     3574.900     0.95197
     3575.000     0.95158
     3575.100     0.95119
     3575.200     0.95080
     3575.300     0.95042
     3575.400     0.95003
     3575.500     0.94964
     3575.600     0.94931
     3575.700     0.94900
     3575.800     0.94868
     3575.900     0.94837
     3576.000     0.94806
     3576.100     0.94775
     3576.200     0.94744
     3576.300     0.94713
     3576.400     0.94708
     3576.500     0.94729
     3576.600     0.94750
     3576.700     0.94771
     3576.800     0.94792
     3576.900     0.94813
     3577.000     0.94834
     3577.100     0.94855
     3577.200     0.94852
     3577.300     0.94780
     3577.400     0.94709
     3577.500     0.94637
     3577.600     0.94566
     3577.700     0.94495
     3577.800     0.94423
     3577.900     0.94352
     3578.000     0.94282
     3578.100     0.94276
     3578.200     0.94270
     3578.300     0.94263
     3578.400     0.94257
     3578.500     0.94251
     3578.600     0.94244
     3578.700     0.94238
     3578.800     0.94232
     3578.900     0.94236
     3579.000     0.94244
     3579.100     0.94251
     3579.200     0.94259
     3579.300     0.94266
     3579.400     0.94274
     3579.500     0.94281
     3579.600     0.94289
     3579.700     0.94262
     3579.800     0.94205
     3579.900     0.94149
     3580.000     0.94092
     3580.100     0.94036
     3580.200     0.93979
     3580.300     0.93923
     3580.400     0.93866
     3580.500     0.93828
     3580.600     0.93833
     3580.700     0.93839
     3580.800     0.93844
     3580.900     0.93849
     3581.000     0.93854
     3581.100     0.93859
     3581.200     0.93864
     3581.300     0.93867
     3581.400     0.93830
     3581.500     0.93793
     3581.600     0.93756
     3581.700     0.93719
     3581.800     0.93682
     3581.900     0.93645
     3582.000     0.93608
     3582.100     0.93571
     3582.200     0.93565
     3582.300     0.93567
     3582.400     0.93569
     3582.500     0.93571
     3582.600     0.93573
     3582.700     0.93575
     3582.800     0.93577
     3582.900     0.93579
     3583.000     0.93593
     3583.100     0.93615
     3583.200     0.93637
     3583.300     0.93659
     3583.400     0.93681
     3583.500     0.93703
     3583.600     0.93726
     3583.700     0.93748
     3583.800     0.93758
     3583.900     0.93741
     3584.000     0.93723
     3584.100     0.93706
     3584.200     0.93689
     3584.300     0.93672
     3584.400     0.93655
     3584.500     0.93638
     3584.600     0.93623
     3584.700     0.93648
     3584.800     0.93673
     3584.900     0.93698
     3585.000     0.93723
     3585.100     0.93748
     3585.200     0.93773
     3585.300     0.93798
     3585.400     0.93823
     3585.500     0.93827
     3585.600     0.93826
     3585.700     0.93825
     3585.800     0.93824
     3585.900     0.93823
     3586.000     0.93822
     3586.100     0.93821
     3586.200     0.93820
     3586.300     0.93756
     3586.400     0.93641
     3586.500     0.93526
     3586.600     0.93410
     3586.700     0.93295
     3586.800     0.93179
     3586.900     0.93064
     3587.000     0.92949
     3587.100     0.92871
     3587.200     0.92886
     3587.300     0.92901
     3587.400     0.92917
     3587.500     0.92932
     3587.600     0.92947
     3587.700     0.92962
     3587.800     0.92978
     3587.900     0.92994
     3588.000     0.93034
     3588.100     0.93074
     3588.200     0.93115
     3588.300     0.93155
     3588.400     0.93195
     3588.500     0.93236
     3588.600     0.93276
     3588.700     0.93317
     3588.800     0.93320
     3588.900     0.93313
     3589.000     0.93305
     3589.100     0.93298
     3589.200     0.93291
     3589.300     0.93283
     3589.400     0.93276
     3589.500     0.93268
     3589.600     0.93246
     3589.700     0.93210
     3589.800     0.93173
     3589.900     0.93137
     3590.000     0.93100
     3590.100     0.93064
     3590.200     0.93027
     3590.300     0.92991
     3590.400     0.92973
     3590.500     0.93013
     3590.600     0.93053
     3590.700     0.93094
     3590.800     0.93134
     3590.900     0.93175
     3591.000     0.93215
     3591.100     0.93255
     3591.200     0.93296
     3591.300     0.93278
     3591.400     0.93257
     3591.500     0.93237
     3591.600     0.93217
     3591.700     0.93197
     3591.800     0.93176
     3591.900     0.93156
     3592.000     0.93136
     3592.100     0.93060
     3592.200     0.92961
     3592.300     0.92861
     3592.400     0.92761
     3592.500     0.92662
     3592.600     0.92562
     3592.700     0.92463
     3592.800     0.92363
     3592.900     0.92340
     3593.000     0.92420
     3593.100     0.92501
     3593.200     0.92582
     3593.300     0.92663
     3593.400     0.92743
     3593.500     0.92824
     3593.600     0.92905
     3593.700     0.92975
     3593.800     0.92988
     3593.900     0.93001
     3594.000     0.93014
     3594.100     0.93026
     3594.200     0.93039
     3594.300     0.93052
     3594.400     0.93064
     3594.500     0.93077
     3594.600     0.93052
     3594.700     0.93022
     3594.800     0.92992
     3594.900     0.92962
     3595.000     0.92931
     3595.100     0.92901
     3595.200     0.92871
     3595.300     0.92841
     3595.400     0.92808
     3595.500     0.92775
     3595.600     0.92741
     3595.700     0.92708
     3595.800     0.92674
     3595.900     0.92641
     3596.000     0.92607
     3596.100     0.92574
     3596.200     0.92539
     3596.300     0.92502
     3596.400     0.92465
     3596.500     0.92428
     3596.600     0.92391
     3596.700     0.92353
     3596.800     0.92316
     3596.900     0.92279
     3597.000     0.92241
     3597.100     0.92180
     3597.200     0.92119
     3597.300     0.92058
     3597.400     0.91997
     3597.500     0.91936
     3597.600     0.91875
     3597.700     0.91814
     3597.800     0.91752
     3597.900     0.91772
     3598.000     0.91817
     3598.100     0.91863
     3598.200     0.91908
     3598.300     0.91954
     3598.400     0.91999
     3598.500     0.92045
     3598.600     0.92090
     3598.700     0.92076
     3598.800     0.91993
     3598.900     0.91911
     3599.000     0.91828
     3599.100     0.91746
     3599.200     0.91663
     3599.300     0.91581
     3599.400     0.91498
     3599.500     0.91421
     3599.600     0.91367
     3599.700     0.91313
     3599.800     0.91259
     3599.900     0.91205
     3600.000     0.91151
     3600.100     0.91098
     3600.200     0.91044
     3600.300     0.90990
     3600.400     0.90964
     3600.500     0.90942
     3600.600     0.90920
     3600.700     0.90897
     3600.800     0.90875
     3600.900     0.90853
     3601.000     0.90830
     3601.100     0.90808
     3601.200     0.90777
     3601.300     0.90741
     3601.400     0.90705
     3601.500     0.90669
     3601.600     0.90633
     3601.700     0.90597
     3601.800     0.90560
     3601.900     0.90524
